x,Firm,City,State,Seed,Early Vent.,Late Vent.,# of Funds,Total Fund Raised ($M),# of Investments,# of Exits,1,#,2,#_2,3,#_3,4,#_4,5,#_5,Website,Crunchbase URL,LinkedIn URL,col_25,State_2,Count,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
,Cowboy Ventures,Palo Alto,CA,1,1,,3,$190.0,92,15,E-Commerce,11,Software,10,Internet,9,Social Media,6,Retail,6,cowboy.vc,https://www.crunchbase.com/organization/cowboy-ventures,https://www.linkedin.com/company/cowboy-ventures/,x,,,"https://www.linkedin.com/in/aileenwlee, https://www.linkedin.com/in/caroline-duffy-vc, https://www.linkedin.com/in/rohan-puranik-75554090",,"https://www.linkedin.com/in/aileenwlee, https://www.linkedin.com/in/caroline-duffy-vc, https://www.linkedin.com/in/rohan-puranik-75554090, https://www.linkedin.com/in/tedwang"
,Creative Ventures,San Francisco,CA,1,1,,1,$50.0,7,,Computer,2,Internet of Things,2,Education,1,Consumer,1,Recruiting,1,creativeventures.vc,https://www.crunchbase.com/organization/creative-ventures,https://www.linkedin.com/company/creative-ventures-partner/,x,,,"https://www.linkedin.com/in/jwang10, https://www.linkedin.com/in/kulika-weizman",,"https://www.linkedin.com/in/jwang10, https://www.linkedin.com/in/kulika-weizman"
,Crescendo Ventures,Menlo Park,CA,1,,,5,,111,33,Software,16,Internet,11,Telecommunication,11,Manufacturing,8,Mobile,8,crescendoventures.com,https://www.crunchbase.com/organization/crescendo-ventures,linkedin.com/company/44022,x,,,,,"https://www.linkedin.com/in/tanya-treseler-205941259, https://www.linkedin.com/in/peter-van-cuylenburg-a466a824, https://www.linkedin.com/in/ryan-zhang-806756213, https://www.linkedin.com/in/sonali-bhosale-4570b9151, https://www.linkedin.com/in/donna-romeo-ghafouri-7424317, https://www.linkedin.com/in/martin-bai-7129386"
,Crestlight,Santa Clara,CA,1,,,1,$1.3,11,2,Internet of Things,5,Enterprise Software,3,Internet,2,Analytics,2,Software,2,crestlight.com,https://www.crunchbase.com/organization/crestlight-venture-productions,https://www.linkedin.com/company/crestlight-ventures-&-productions/,x,,,,,"https://www.linkedin.com/in/daniel-weiner-a90111103, https://www.linkedin.com/in/kelly-lim-a502a311, https://www.linkedin.com/in/jenshorstmann, https://www.linkedin.com/in/edward-neblett-49642649, https://www.linkedin.com/in/andrew-bonchick, https://www.linkedin.com/in/elyssa-marcus, https://www.linkedin.com/in/ajay-goel-55b6b151, https://www.linkedin.com/in/candice-irion-67346447"
,Crosscut Ventures,Los Angeles,CA,1,,,4,$221.0,88,12,E-Commerce,13,Software,12,Internet,9,Mobile,9,Advertising,7,crosscut.vc,https://www.crunchbase.com/organization/crosscut-ventures,linkedin.com/company/2677696,x,,,"https://www.linkedin.com/in/alexandra-dolido-183592bb, https://www.linkedin.com/in/briangarrett1, https://www.linkedin.com/in/felipealvarezllano, https://www.linkedin.com/in/jon-ylvisaker-a9b6b521, https://www.linkedin.com/in/ricksmithvc",,"https://www.linkedin.com/in/alexandra-dolido-183592bb, https://www.linkedin.com/in/briangarrett1, https://www.linkedin.com/in/felipealvarezllano, https://www.linkedin.com/in/jon-ylvisaker-a9b6b521, https://www.linkedin.com/in/ricksmithvc"
,CrowdFunder,Los Angeles,CA,1,1,,2,,7,,E-Commerce,2,Software,2,Photographi,1,Credit,1,Health Care,1,crowdfunder.com,https://www.crunchbase.com/organization/crowdfunder-2,https://www.linkedin.com/company/crowdfunder-com/?originalSubdomain=in,x,,,,,"https://www.linkedin.com/in/crowdfunder-jason, https://www.linkedin.com/in/sabrinajiang, https://www.linkedin.com/in/joelmatthewsfinance, https://www.linkedin.com/in/innocent-blossom-301073220, https://www.linkedin.com/in/sam-matthews-494981a3, https://www.linkedin.com/in/alex-watts-732213174"
,CrunchFund,San Francisco,CA,1,1,,3,$59.0,241,59,Mobile,39,Software,35,Internet,31,E-Commerce,23,Enterprise Software,20,cf.vc,https://www.crunchbase.com/organization/crunchfund,https://www.linkedin.com/company/crunchfund/,x,,,,,"https://www.linkedin.com/in/kerri-vanz-4988a3153, https://www.linkedin.com/in/jfiance, https://www.linkedin.com/in/robart-kary-536464231, https://www.linkedin.com/in/merimastevanovic, https://www.linkedin.com/in/freysebastian, https://www.linkedin.com/in/denys-varlashyn"
,CRV (Charles River Ventures),San Francisco,CA,1,1,,5,,451,114,Software,47,Mobile,43,Enterprise Software,35,Internet,26,Information Technology,24,crv.com,https://www.crunchbase.com/organization/crvvc,https://www.linkedin.com/company/crvvc/,x,,,,,"https://www.linkedin.com/in/mbicer, https://www.linkedin.com/in/rebecca-charyn-bb413145, https://www.linkedin.com/in/graham-shuler-3a595b76, https://www.linkedin.com/in/edgardcapdevielle, https://www.linkedin.com/in/kate-sheehy-she-hers-aa972420"
,Crystal Tech Fund,Arlington,VA,1,,,1,$50.0,3,1,Search Engine,1,CRM,1,Identity Management,1,SEO,1,Social Media,1,crystalcity.org,https://www.crunchbase.com/organization/crystal-tech-fund,https://www.linkedin.com/company/crystal-city-business-improvement-district/,x,,,,,https://www.linkedin.com/in/hansoo-kim-78067615
,Crystal Towers Capital,New York,NY,1,1,1,1,$27.5,2,,Network Security,1,Machine Learning,1,Debt Collection,1,Computer,1,Call Center,1,crystaltowersapartments.com,https://www.crunchbase.com/organization/crystal-towers,,x,,,,,
,CSC Upshot Ventures,Palo Alto,CA,1,,,1,$400.0,9,,Health Care,2,Machine Learning,2,Analytics,2,Apps,2,Fitness,1,csc-upshot.vc,https://www.crunchbase.com/organization/csc-upshot,linkedin.com/company/12957658,x,,,,,"https://www.linkedin.com/in/huoy-ming-yeh, https://www.linkedin.com/in/tianqi-z-3472931a6, https://www.linkedin.com/in/anuja-lele-47972474, https://www.linkedin.com/in/my-t-johnson-332a5895, https://www.linkedin.com/in/aasawari-chitnis-1a125b42, https://www.linkedin.com/in/my-t-johnson"
,Cultivate Ventures,Washington,DC,1,,,,,,,,,,,,,,,,,cultivateventures.co,https://www.crunchbase.com/organization/cultivate-ventures,linkedin.com/company/5177943,x,,,,,"https://www.linkedin.com/in/caesarlayton, https://www.linkedin.com/in/jessecdodds, https://www.linkedin.com/in/steven-holm-12a56714, https://www.linkedin.com/in/richard-green-43535444, https://www.linkedin.com/in/johncaulkins, https://www.linkedin.com/in/pratibha-vuppuluri"
,Cultivation Capital,St Louis,MO,1,1,,6,$160.1,100,6,Software,11,Biotechnology,10,SaaS,10,Financial Service,6,Enterprise Software,6,cultivationcapital.com,https://www.crunchbase.com/organization/cultivation-capital,https://www.linkedin.com/company/cultivation-capital/,x,,,"https://www.linkedin.com/in/cliffholekamp, https://www.linkedin.com/in/kylewelborn, https://www.linkedin.com/in/camilapetignat",,"https://www.linkedin.com/in/cliffholekamp, https://www.linkedin.com/in/kylewelborn, https://www.linkedin.com/in/camilapetignat"
,Curran Rosschou VC (CRVC),San Francisco,CA,1,,,,,,,,,,,,,,,,,crventurecapital.com,,linkedin.com/company/11500734,x,,,,,
,Darling Ventures,San Francisco,CA,1,,,,,13,1,Mobile,4,Machine Learning,2,Software,2,Artificial Intelligence,2,Real Time,1,DarlingVentures.com,https://www.crunchbase.com/organization/darling-ventures,https://www.linkedin.com/company/darling-ventures-llc/,x,,,"https://www.linkedin.com/in/danieldarling, https://www.linkedin.com/in/pascal-unger",,"https://www.linkedin.com/in/danieldarling, https://www.linkedin.com/in/pascal-unger"
,Data Collective,San Francisco,CA,1,1,1,6,$637.0,330,45,Software,67,Analytics,50,Big Data,46,Enterprise Software,39,Machine Learning,27,dcvc.com,https://www.crunchbase.com/organization/data-collective,https://www.linkedin.com/company/data-collective/,x,,,,,"https://www.linkedin.com/in/zackbogue, https://www.linkedin.com/in/mattocko, https://www.linkedin.com/in/hardimanjames, https://www.linkedin.com/in/alitamaseb, https://www.linkedin.com/in/sicrosby"
,Data Point Capital,Boston,MA,1,1,,2,$125.0,19,1,E-Commerce,5,Marketing,3,Consumer,2,Advertising,2,Software,2,datapointcapital.com,https://www.crunchbase.com/organization/data-point-capital,https://www.linkedin.com/company/data-point-capital/,x,,,,,"https://www.linkedin.com/in/mike-majors-43398, https://www.linkedin.com/in/scott-savitz-19837a91, https://www.linkedin.com/in/bruce-revzin, https://www.linkedin.com/in/geoff-oblak-31b2298, https://www.linkedin.com/in/stevekurylo, https://www.linkedin.com/in/mkt-bee-4478372b8, https://www.linkedin.com/in/charity-chaser-6069b6343"
,Deberi Group,Fort Lauderdale,FL,1,,,,,,,,,,,,,,,,,deberigroup.com,,linkedin.com/company/11352559,x,,,,,"https://www.linkedin.com/in/nigelgreendeveregroup, https://www.linkedin.com/in/george-prior-b938b128, https://www.linkedin.com/in/1jamesmcdonald, https://www.linkedin.com/in/jonathan-lock, https://www.linkedin.com/in/vivek-shukla-26a8121a, https://www.linkedin.com/in/ollywilcox, https://www.linkedin.com/in/jasmeetkhalsa"
,Designer Fund,San Francisco,CA,1,1,,1,$20.0,30,4,Software,5,SaaS,4,Enterprise Software,4,Information Technology,4,Health Care,3,designerfund.com,https://www.crunchbase.com/organization/designer-fund,https://www.linkedin.com/company/designer-fund/,x,,,,,
,Detroit Venture Partners,Detroit,MI,1,,,1,$55.0,55,7,E-Commerce,6,Enterprise Software,6,Mobile,6,Education,4,Social Media,4,DetroitVenturePartners.com,https://www.crunchbase.com/organization/detroit-venture-partners,linkedin.com/company/1465018,x,,,,,
,Detroit Ventures,Detroit,MI,1,1,,1,$55.0,56,7,E-Commerce,6,Enterprise Software,6,Mobile,6,Education,4,Social Media,4,detroit.vc,https://www.crunchbase.com/organization/detroit-venture-partners,https://www.linkedin.com/company/detroit-venture-partners/,x,,,,,"https://www.linkedin.com/in/pglaza, https://www.linkedin.com/in/jeffponders, https://www.linkedin.com/in/dober, https://www.linkedin.com/in/corytincher, https://www.linkedin.com/in/belvinliles, https://www.linkedin.com/in/james-serocki-706aa6269, https://www.linkedin.com/in/prembodagala"
,DHVC,Palo Alto,CA,1,1,1,2,$434.5,147,5,Blockchain,26,Software,23,Internet,13,Mobile,13,Computer,12,danhuacap.com,https://www.crunchbase.com/organization/danhua-capital,https://www.linkedin.com/company/danhua-capital/,x,,,"https://www.linkedin.com/in/charlotte-lee-b91a1095, https://www.linkedin.com/in/lingyao-gao-272247b3",,"https://www.linkedin.com/in/charlotte-lee-b91a1095, https://www.linkedin.com/in/lingyao-gao-272247b3"
,Digital Currency Group,New York,NY,1,1,1,,,136,7,Bitcoin,51,FinTech,39,Financial Service,34,Blockchain,28,Cryptocurrency,25,dcg.co,https://www.crunchbase.com/organization/digital-currency-group,https://www.linkedin.com/company/digital-currency-group/?trk=company_logo,x,,,,,
,Digitalis Ventures,New York,NY,1,,,1,$100.0,6,,Health Care,2,Health Diagonstics,2,Education,1,Pharmaceutical,1,Wearables,1,digitalisventures.com,https://www.crunchbase.com/organization/digitalis-ventures,linkedin.com/company/10430492,x,,,,,
,Divergent Ventures,Seattle,WA,1,1,1,5,$63.5,34,9,Analytics,7,Software,6,Big Data,6,Enterprise Software,5,Cloud Computing,4,divergentvc.com,https://www.crunchbase.com/organization/divergent-ventures,https://www.linkedin.com/company/divergent-ventures/,x,,,,,"https://www.linkedin.com/in/john-bandy-62427216b, https://www.linkedin.com/in/uhriaha-aguilar, https://www.linkedin.com/in/melanie-smith-032881160, https://www.linkedin.com/in/lucy-wang-5a560525, https://www.linkedin.com/in/bart-hawkins-42a47a1b, https://www.linkedin.com/in/tasha-aguilar, https://www.linkedin.com/in/thejeremyharvey"
,Dominate Fund,San Francisco,CA,1,,,,,3,,Software,2,Enterprise Software,2,Social Media,1,SaaS,1,Application Perfomance Management,1,angel.codominatefund,https://www.crunchbase.com/organization/dominatefund,https://www.linkedin.com/company/dominatefund/,x,,,,,"https://www.linkedin.com/in/samuel-mondeo-891598305, https://www.linkedin.com/in/adam-shane-527368145, https://www.linkedin.com/in/fengchi-ye-39a247332, https://www.linkedin.com/in/matyas-merenyi-81375424a, https://www.linkedin.com/in/michaeljelen"
,Dorm Room Fund,Philadelphia,PA,1,,,,,127,6,Health Care,17,Software,12,Internet,8,Enterprise Software,8,Education,7,dormroomfund.com,https://www.crunchbase.com/organization/dorm-room-fund,https://www.linkedin.com/company/dorm-room-fund/,x,,,"https://www.linkedin.com/in/molly-fowler, https://www.linkedin.com/in/saras-agrawal, https://www.linkedin.com/in/catherinemek",,"https://www.linkedin.com/in/molly-fowler, https://www.linkedin.com/in/saras-agrawal, https://www.linkedin.com/in/catherinemek"
,Draft VC,San Francisco,CA,1,1,,,,15,3,Apps,3,E-Commerce,2,Health Care,2,Delivery,2,Digital Marketing,2,draftvc.com,https://www.crunchbase.com/organization/draft-ventures,https://www.linkedin.com/company/draft-ventures/,x,,,,,"https://www.linkedin.com/in/davidjrodriguez, https://www.linkedin.com/in/annadraft, https://www.linkedin.com/in/drpaullawrence, https://www.linkedin.com/in/cv-draft-b03a28389, https://www.linkedin.com/in/darren-fortney-aicp-nci-leed-ga-60949898, https://www.linkedin.com/in/pipit-hafiz-433b61177, https://www.linkedin.com/in/alan-frisby-87708720, https://www.linkedin.com/in/arondelevic"
,Draper Associates,San Mateo,CA,1,,,1,$190.0,216,34,Software,23,Mobile,23,Enterprise Software,23,Internet,15,Finance,15,draper.vc,https://www.crunchbase.com/organization/draper-associates-2,linkedin.com/company/13465522,x,,,,,"https://www.linkedin.com/in/timothydraper, https://www.linkedin.com/in/michellebkwok, https://www.linkedin.com/in/maxime-bucaille-60a91a93, https://www.linkedin.com/in/andytangvc, https://www.linkedin.com/in/jamespatrickwalker, https://www.linkedin.com/in/rose-yip-3a5aa4258, https://www.linkedin.com/in/susheel-perikala, https://www.linkedin.com/in/vicky-kuang-42229740"
,Draper Dragon Fund,San Mateo,CA,1,,,,,8,,Blockchain,4,Cryptocurrency,3,Information Technology,3,Finance,2,Big Data,2,draperdragon.com,https://www.crunchbase.com/organization/draper-dragon,linkedin.com/company/13216359,x,,,,,"https://www.linkedin.com/in/jingqing-zha-015ab244, https://www.linkedin.com/in/yiming-hu-07a12b104, https://www.linkedin.com/in/anjaligrover, https://www.linkedin.com/in/adrian-yip-8b3829118, https://www.linkedin.com/in/s-frank-miaw-550a253, https://www.linkedin.com/in/pierceduffy"
,Draper Nexus Ventures,San Mateo,CA,1,1,,3,$255.0,95,13,Software,13,Analytics,9,Internet,8,SaaS,7,Information Technology,7,drapernexus.com,https://www.crunchbase.com/organization/draper-nexus-ventures,https://www.linkedin.com/company/drapernexus/,x,,,,,"https://www.linkedin.com/in/hiroriomaeda, https://www.linkedin.com/in/salilpradhan, https://www.linkedin.com/in/connor-duffy-28ba94111, https://www.linkedin.com/in/sudeshna-mukerji-638b365, https://www.linkedin.com/in/kyoheimukaigawa, https://www.linkedin.com/in/-connorduffy, https://www.linkedin.com/in/andytangvc"
,Draper Venture Network,San Mateo,CA,1,,,,,,,,,,,,,,,,,drapernetwork.com,https://www.crunchbase.com/organization/dfj-global-network,linkedin.com/company/3864373,x,,,,,"https://www.linkedin.com/in/gabriella-russell-3252b7197, https://www.linkedin.com/in/wendylung, https://www.linkedin.com/in/jessedraper, https://www.linkedin.com/in/michellebkwok, https://www.linkedin.com/in/michael-foster-08b3b8178, https://www.linkedin.com/in/akhanik, https://www.linkedin.com/in/enriquepenichet, https://www.linkedin.com/in/andreasantichio"
,Dream Machine,Palo Alto,CA,1,1,,1,,1,,Social Media,1,Mobile Apps,1,Artificial Intelligence,1,,,,,dreammachine.vc,https://www.crunchbase.com/organization/dream-machine-vc,,x,,,,,"https://www.linkedin.com/in/the-dream-machine-a76bb7379, https://www.linkedin.com/in/the-dream-machine-45b2a344, https://www.linkedin.com/in/olivier-pic, https://www.linkedin.com/in/dream-machine-asia-810b80377, https://www.linkedin.com/in/omar-ist, https://www.linkedin.com/in/tony-h-76056322"
,DS Ventures,Arlington,VA,1,,,,,,,,,,,,,,,,,ds-ventures.com,,linkedin.com/company/544208,x,,,,,"https://www.linkedin.com/in/david-schwartzman-8034784, https://www.linkedin.com/in/patty-hannon-22599950, https://www.linkedin.com/in/don-sabin-54213114, https://www.linkedin.com/in/doug-hunt-50b85552, https://www.linkedin.com/in/don-sabin-03543915, https://www.linkedin.com/in/mohan-shetty-b57242136, https://www.linkedin.com/in/ds-ventures-12564b377, https://www.linkedin.com/in/libbyslight"
,Dundee Venture Capital,Omaha,NE,1,1,,3,$51.7,48,4,Software,9,Mobile,6,E-Commerce,5,Computer,4,Information Technology,4,dundeeventurecapital.com,https://www.crunchbase.com/organization/dundee-venture-capital,https://www.linkedin.com/company/dundee-venture-capital/,x,,,"https://www.linkedin.com/in/cwilliams0801, https://www.linkedin.com/in/kalli-mustard-72b33232, https://www.linkedin.com/in/mark-hasebroock-a5076625",,"https://www.linkedin.com/in/cwilliams0801, https://www.linkedin.com/in/kalli-mustard-72b33232, https://www.linkedin.com/in/mark-hasebroock-a5076625"
,E14 Fund,Cambridge,MA,1,1,,1,,5,,Software,4,Electronics,2,Machine Learning,1,IOS,1,Augmented Reality,1,e14fund.com,https://www.crunchbase.com/organization/the-e14-fund,https://www.linkedin.com/company/e14-fund/,x,,,"https://www.linkedin.com/in/emily-m-yu, https://www.linkedin.com/in/alaa-khaddaj, https://www.linkedin.com/in/anna-z-11774096, https://www.linkedin.com/in/annan-zhang, https://www.linkedin.com/in/annie-doris, https://www.linkedin.com/in/anoopsonar30, https://www.linkedin.com/in/artem-lukoianov, https://www.linkedin.com/in/bertvandereydt, https://www.linkedin.com/in/camronblackburn, https://www.linkedin.com/in/christopher-canova, https://www.linkedin.com/in/don-dong-won-lee-ab964b172, https://www.linkedin.com/in/evhaas, https://www.linkedin.com/in/fdoria, https://www.linkedin.com/in/hilal-dahleh-46018b145, https://www.linkedin.com/in/jatinjpatil, https://www.linkedin.com/in/jimmy-teng, https://www.linkedin.com/in/josephinelee1234, https://www.linkedin.com/in/julia-sircar-b28653139, https://www.linkedin.com/in/manvithaponnapati, https://www.linkedin.com/in/michael-wang-4ab10923a, https://www.linkedin.com/in/minimario, https://www.linkedin.com/in/sarah-melvin-90652548, https://www.linkedin.com/in/serena-bono-346982169, https://www.linkedin.com/in/tobinsouth, https://www.linkedin.com/in/tyler-holloway-482888141, https://www.linkedin.com/in/tzu-chieh-tang, https://www.linkedin.com/in/yukatkh",,"https://www.linkedin.com/in/emily-m-yu, https://www.linkedin.com/in/alaa-khaddaj, https://www.linkedin.com/in/anna-z-11774096, https://www.linkedin.com/in/annan-zhang, https://www.linkedin.com/in/annie-doris, https://www.linkedin.com/in/anoopsonar30, https://www.linkedin.com/in/artem-lukoianov, https://www.linkedin.com/in/bertvandereydt, https://www.linkedin.com/in/camronblackburn, https://www.linkedin.com/in/christopher-canova, https://www.linkedin.com/in/don-dong-won-lee-ab964b172, https://www.linkedin.com/in/evhaas, https://www.linkedin.com/in/fdoria, https://www.linkedin.com/in/hilal-dahleh-46018b145, https://www.linkedin.com/in/jatinjpatil, https://www.linkedin.com/in/jimmy-teng, https://www.linkedin.com/in/josephinelee1234, https://www.linkedin.com/in/julia-sircar-b28653139, https://www.linkedin.com/in/manvithaponnapati, https://www.linkedin.com/in/michael-wang-4ab10923a, https://www.linkedin.com/in/minimario, https://www.linkedin.com/in/sarah-melvin-90652548, https://www.linkedin.com/in/serena-bono-346982169, https://www.linkedin.com/in/tobinsouth, https://www.linkedin.com/in/tyler-holloway-482888141, https://www.linkedin.com/in/tzu-chieh-tang, https://www.linkedin.com/in/yukatkh"
